Numbers 12:3	(Now the man Moses was very meek, above all the men which were on the face of the earth.)
Revelation 6:8	And I looked, and behold a pale horse: and his name that sat on him was Death, and Hell followed with him. And power was given to them over the fourth part of the earth, to kill with sword, and with hunger, and with death, and with the beasts of the earth.
Isaiah 42:7	To open the blind eyes, to bring out the prisoners from the prison, and them that sit in darkness out of the prison house.
1 Chronicles 9:29	Some of them also were appointed to oversee the vessels, and all the instruments of the sanctuary, and the fine flour, and the wine, and the oil, and the frankincense, and the spices.
2 Samuel 22:5	When the waves of death compassed me, the floods of ungodly men made me afraid;
Proverbs 5:23	He shall die without instruction; and in the greatness of his folly he shall go astray.
Revelation 1:14	His head and his hairs were white like wool, as white as snow; and his eyes were as a flame of fire;
Psalm 135:4	For the LORD has chosen Jacob to himself, and Israel for his peculiar treasure.
1 Chronicles 12:30	And of the children of Ephraim twenty thousand and eight hundred, mighty men of valor, famous throughout the house of their fathers.
Numbers 1:9	Of Zebulun; Eliab the son of Helon.
Matthew 9:11	And when the Pharisees saw it, they said to his disciples, Why eats your Master with publicans and sinners?
Psalm 26:1	Judge me, O LORD; for I have walked in my integrity: I have trusted also in the LORD; therefore I shall not slide.
Psalm 61:8	So will I sing praise to your name for ever, that I may daily perform my vows.
Psalm 65:9	You visit the earth, and water it: you greatly enrich it with the river of God, which is full of water: you prepare them corn, when you have so provided for it.
Ruth 3:4	And it shall be, when he lies down, that you shall mark the place where he shall lie, and you shall go in, and uncover his feet, and lay you down; and he will tell you what you shall do.
Psalm 48:1	Great is the LORD, and greatly to be praised in the city of our God, in the mountain of his holiness.
Mark 7:26	The woman was a Greek, a Syrophenician by nation; and she sought him that he would cast forth the devil out of her daughter.
Leviticus 17:11	For the life of the flesh is in the blood: and I have given it to you on the altar to make an atonement for your souls: for it is the blood that makes an atonement for the soul.
Amos 9:5	And the Lord GOD of hosts is he that touches the land, and it shall melt, and all that dwell therein shall mourn: and it shall rise up wholly like a flood; and shall be drowned, as by the flood of Egypt.
Job 39:27	Does the eagle mount up at your command, and make her nest on high?
2 Chronicles 26:13	And under their hand was an army, three hundred thousand and seven thousand and five hundred, that made war with mighty power, to help the king against the enemy.
1 Samuel 18:8	And Saul was very wroth, and the saying displeased him; and he said, They have ascribed to David ten thousands, and to me they have ascribed but thousands: and what can he have more but the kingdom?
1 Kings 10:1	And when the queen of Sheba heard of the fame of Solomon concerning the name of the LORD, she came to prove him with hard questions.
Acts 11:12	And the Spirit bade me go with them, nothing doubting. Moreover these six brothers accompanied me, and we entered into the man’s house:
Deuteronomy 28:64	And the LORD shall scatter you among all people, from the one end of the earth even to the other; and there you shall serve other gods, which neither you nor your fathers have known, even wood and stone.
Leviticus 25:51	If there be yet many years behind, according to them he shall give again the price of his redemption out of the money that he was bought for.
Ezra 2:29	The children of Nebo, fifty and two.
Nehemiah 13:20	So the merchants and sellers of all kind of ware lodged without Jerusalem once or twice.
Leviticus 15:16	And if any man’s seed of copulation go out from him, then he shall wash all his flesh in water, and be unclean until the even.
Numbers 26:65	For the LORD had said of them, They shall surely die in the wilderness. And there was not left a man of them, save Caleb the son of Jephunneh, and Joshua the son of Nun.
Genesis 49:24	But his bow stayed in strength, and the arms of his hands were made strong by the hands of the mighty God of Jacob; (from there is the shepherd, the stone of Israel:)
Numbers 27:12	And the LORD said to Moses, Get you up into this mount Abarim, and see the land which I have given to the children of Israel.
Psalm 102:17	He will regard the prayer of the destitute, and not despise their prayer.
Proverbs 10:27	The fear of the LORD prolongs days: but the years of the wicked shall be shortened.
Acts 6:11	Then they suborned men, which said, We have heard him speak blasphemous words against Moses, and against God.
Exodus 36:1	Then worked Bezaleel and Aholiab, and every wise hearted man, in whom the LORD put wisdom and understanding to know how to work all manner of work for the service of the sanctuary, according to all that the LORD had commanded.
Genesis 5:10	And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:
Jeremiah 51:13	O you that dwell on many waters, abundant in treasures, your end is come, and the measure of your covetousness.
Isaiah 44:25	That frustrates the tokens of the liars, and makes diviners mad; that turns wise men backward, and makes their knowledge foolish;
Matthew 11:20	Then began he to upbraid the cities wherein most of his mighty works were done, because they repented not:
Job 14:17	My transgression is sealed up in a bag, and you sew up my iniquity.
Numbers 15:19	Then it shall be, that, when you eat of the bread of the land, you shall offer up an heave offering to the LORD.
Revelation 15:1	And I saw another sign in heaven, great and marvelous, seven angels having the seven last plagues; for in them is filled up the wrath of God.
2 Samuel 2:13	And Joab the son of Zeruiah, and the servants of David, went out, and met together by the pool of Gibeon: and they sat down, the one on the one side of the pool, and the other on the other side of the pool.
Ezekiel 3:12	Then the spirit took me up, and I heard behind me a voice of a great rushing, saying, Blessed be the glory of the LORD from his place.
Genesis 31:52	This heap be witness, and this pillar be witness, that I will not pass over this heap to you, and that you shall not pass over this heap and this pillar to me, for harm.
Isaiah 11:12	And he shall set up an ensign for the nations, and shall assemble the outcasts of Israel, and gather together the dispersed of Judah from the four corners of the earth.
Judges 6:29	And they said one to another, Who has done this thing? And when they inquired and asked, they said, Gideon the son of Joash has done this thing.
Job 34:6	Should I lie against my right? my wound is incurable without transgression.
